last sync time,ELK log ID,client IP,synchronize results,time difference,
"2019-06-13T00:32:24.364Z","1x8_TmsB0lUS-Bmp_mqz","10.3.101.1","sync'ed","-0.008",
"2019-06-13T00:32:24.819Z","eB8_TmsB0lUS-Bmp_2sM","10.3.101.2","sync'ed","-0.009",
"2019-06-13T00:32:25.321Z","rR9ATmsB0lUS-BmpAGvy","10.3.101.3","sync'ed","-0.008",
"2019-06-13T00:32:24.445Z","Mh8_TmsB0lUS-Bmp_Gqx","10.3.101.4","sync'ed","-0.008",
"2019-06-13T00:32:24.325Z","cR8_TmsB0lUS-Bmp_2sM","10.3.101.5","sync'ed","-0.008",
"2019-06-13T00:32:24.320Z","1h8_TmsB0lUS-Bmp_mqz","10.3.101.6","sync'ed","-0.008",
"2019-06-13T00:32:25.909Z","vR9ATmsB0lUS-BmpAmtx","10.3.101.7","sync'ed","-0.008",
"2019-06-13T00:32:24.070Z","0x8_TmsB0lUS-Bmp_mqz","10.3.101.8","sync'ed","-0.007",
"2019-06-13T00:32:25.726Z","tR9ATmsB0lUS-BmpAWuz","10.3.101.9","sync'ed","-0.007",
"2019-06-13T00:32:24.822Z","OR8_TmsB0lUS-Bmp_mpC","10.3.101.10","sync'ed","-0.008",
"2019-06-13T00:32:24.867Z","2h8_TmsB0lUS-Bmp_mqz","10.3.101.11","sync'ed","-0.008",
"2019-06-13T00:32:24.503Z","SB8_TmsB0lUS-Bmp_mvd","10.3.101.12","sync'ed","-0.008",
"2019-06-13T00:32:25.479Z","rh9ATmsB0lUS-BmpAGvy","10.3.101.13","sync'ed","-0.007",
"2019-06-13T00:32:25.439Z","gB9ATmsB0lUS-BmpAGsO","10.3.101.14","sync'ed","-0.008",
"2019-06-13T00:32:24.375Z","RB8_TmsB0lUS-Bmp_mvd","10.3.101.15","sync'ed","-0.007",
"2019-06-13T00:32:24.389Z","RR8_TmsB0lUS-Bmp_mvd","10.3.101.16","sync'ed","-0.008",
"2019-06-13T00:32:24.089Z","bx8_TmsB0lUS-Bmp_2sM","10.3.101.17","sync'ed","-0.007",
"2019-06-13T00:32:24.934Z","eh8_TmsB0lUS-Bmp_2sM","10.3.101.18","sync'ed","-0.008",
"2019-06-13T00:32:24.862Z","Oh8_TmsB0lUS-Bmp_mpD","10.3.101.19","sync'ed","-0.008",
