last sync time,ELK log ID,client IP,synchronize results,time difference,
"2017-11-28T00:20:04.263Z","AV___rg6brR_EmZWtwuf","10.3.101.1","sync'ed","-0.007",
"2017-11-28T00:20:04.709Z","AV___rn0brR_EmZWtwvJ","10.3.101.2","sync'ed","-0.005",
"2017-11-28T00:20:06.225Z","AV___r_dbrR_EmZWtwwL","10.3.101.3","sync'ed","-0.007",
"2017-11-28T00:20:04.269Z","AV___rg6brR_EmZWtwuh","10.3.101.4","sync'ed","-0.007",
"2017-11-28T00:20:04.932Z","AV___rrNbrR_EmZWtwvV","10.3.101.5","sync'ed","-0.007",
"2017-11-28T00:20:04.796Z","AV___rpJbrR_EmZWtwvO","10.3.101.6","sync'ed","-0.005",
"2017-11-28T00:20:04.819Z","AV___rpibrR_EmZWtwvQ","10.3.101.7","sync'ed","-0.007",
"2017-11-28T00:20:04.560Z","AV___rlYbrR_EmZWtwu-","10.3.101.8","sync'ed","-0.005",
"2017-11-28T00:20:05.115Z","AV___ruDbrR_EmZWtwvi","10.3.101.9","sync'ed","-0.008",
"2017-11-28T00:20:04.758Z","AV___rofbrR_EmZWtwvL","10.3.101.10","sync'ed","-0.005",
"2017-11-28T00:20:05.121Z","AV___ruJbrR_EmZWtwvj","10.3.101.11","sync'ed","-0.006",
"2017-11-28T00:20:04.798Z","AV___rpJbrR_EmZWtwvP","10.3.101.12","sync'ed","-0.009",
"2017-11-28T00:20:04.524Z","AV___rk0brR_EmZWtwu7","10.3.101.13","sync'ed","-0.008",
"2017-11-28T00:20:04.530Z","AV___rk9brR_EmZWtwu8","10.3.101.14","sync'ed","-0.005",
"2017-11-28T00:20:04.485Z","AV___rkQbrR_EmZWtwu4","10.3.101.15","sync'ed","-0.005",
"2017-11-28T00:20:05.215Z","AV___rvtbrR_EmZWtwvm","10.3.101.16","sync'ed","-0.005",
"2017-11-28T00:20:04.267Z","AV___rg6brR_EmZWtwug","10.3.101.17","sync'ed","-0.006",
"2017-11-28T00:20:04.503Z","AV___rkgbrR_EmZWtwu5","10.3.101.18","sync'ed","-0.001",
"2017-11-28T00:20:05.264Z","AV___rwlbrR_EmZWtwvq","10.3.101.19","sync'ed","-0.008",
"2017-11-28T00:20:05.155Z","AV___rusbrR_EmZWtwvk","10.3.101.20","sync'ed","-0.008",
"2017-11-28T00:20:04.949Z","AV___rrsbrR_EmZWtwvW","10.3.101.101","sync'ed","-0.008",
"2017-11-28T00:20:04.952Z","AV___rrsbrR_EmZWtwvX","10.3.101.102","sync'ed","-0.006",
"2017-11-28T00:20:05.226Z","AV___rv6brR_EmZWtwvo","10.3.102.1","sync'ed","-0.008",
"2017-11-28T00:20:03.425Z","AV___rTvbrR_EmZWtwtf","10.3.102.2","sync'ed","-0.005",
"2017-11-28T00:20:03.323Z","AV___rSNbrR_EmZWtwtV","10.3.102.3","sync'ed","-0.005",
"2017-11-28T00:20:04.902Z","AV___rqvbrR_EmZWtwvU","10.3.102.4","sync'ed","-0.007",
