last sync time,ELK log ID,client IP,synchronize results,time difference,
"2019-03-20T00:32:14.080Z","_uGDmGkBbSELepQmR17b","10.3.101.1","sync'ed","-0.009",
"2019-03-20T00:32:13.911Z","4-GDmGkBbSELepQmSV_w","10.3.101.2","sync'ed","-0.009",
"2019-03-20T00:32:14.700Z","R-GDmGkBbSELepQmS2Ak","10.3.101.3","sync'ed","-0.008",
"2019-03-20T00:32:14.038Z","duGDmGkBbSELepQmSF8b","10.3.101.4","sync'ed","-0.006",
"2019-03-20T00:32:14.498Z","HeGDmGkBbSELepQmTWGE","10.3.101.5","sync'ed","-0.008",
"2019-03-20T00:32:14.510Z","HuGDmGkBbSELepQmTWGE","10.3.101.6","sync'ed","-0.006",
"2019-03-20T00:32:14.012Z","PuGDmGkBbSELepQmS2Ak","10.3.101.7","sync'ed","-0.007",
"2019-03-20T00:32:14.016Z","--GDmGkBbSELepQmR17b","10.3.101.8","sync'ed","-0.006",
"2019-03-20T00:32:13.913Z","-eGDmGkBbSELepQmR17b","10.3.101.9","sync'ed","-0.008",
"2019-03-20T00:32:13.799Z","4uGDmGkBbSELepQmSV_w","10.3.101.10","sync'ed","-0.007",
"2019-03-20T00:32:13.950Z","5OGDmGkBbSELepQmSV_w","10.3.101.11","sync'ed","-0.008",
"2019-03-20T00:32:14.274Z","QOGDmGkBbSELepQmS2Ak","10.3.101.12","sync'ed","-0.008",
"2019-03-20T00:32:14.415Z","oeGDmGkBbSELepQmTGCg","10.3.101.13","sync'ed","-0.007",
"2019-03-20T00:32:14.739Z","SOGDmGkBbSELepQmS2Ak","10.3.101.14","sync'ed","-0.009",
"2019-03-20T00:32:14.628Z","6-GDmGkBbSELepQmSV_w","10.3.101.15","sync'ed","-0.008",
"2019-03-20T00:32:14.033Z","5eGDmGkBbSELepQmSV_w","10.3.101.16","sync'ed","-0.008",
"2019-03-20T00:32:14.299Z","QuGDmGkBbSELepQmS2Ak","10.3.101.17","sync'ed","-0.005",
"2019-03-20T00:32:14.679Z","RuGDmGkBbSELepQmS2Ak","10.3.101.18","sync'ed","-0.006",
"2019-03-20T00:32:14.349Z","ROGDmGkBbSELepQmS2Ak","10.3.101.19","sync'ed","-0.008",
"2019-03-20T00:32:14.552Z","H-GDmGkBbSELepQmTWGE","10.3.101.20","sync'ed","-0.007",
"2019-03-20T00:32:14.001Z","-uGDmGkBbSELepQmR17b","10.3.101.101","sync'ed","-0.007",
"2019-03-20T00:32:13.952Z","deGDmGkBbSELepQmSF8b","10.3.101.102","sync'ed","-0.007",
"2019-03-20T00:32:14.696Z","IOGDmGkBbSELepQmTWGE","10.3.102.1","sync'ed","-0.008",
"2019-03-20T00:32:14.131Z","eOGDmGkBbSELepQmSF8b","10.3.102.2","sync'ed","-0.006",
"2019-03-20T00:32:14.480Z","o-GDmGkBbSELepQmTGCg","10.3.102.3","sync'ed","-0.007",
"2019-03-20T00:32:14.574Z","ReGDmGkBbSELepQmS2Ak","10.3.102.4","sync'ed","-0.007",
"2019-03-20T00:32:14.436Z","6OGDmGkBbSELepQmSV_w","10.3.102.5","sync'ed","-0.006",
"2019-03-20T00:32:14.171Z","eeGDmGkBbSELepQmSF8b","10.3.102.6","sync'ed","-0.008",
"2019-03-20T00:32:14.756Z","SeGDmGkBbSELepQmS2Ak","10.3.102.7","sync'ed","-0.005",
