last sync time,ELK log ID,client IP,synchronize results,time difference,
"2018-02-05T00:20:04.246Z","AWFjVYQfRDDFCm0fdrgY","10.3.101.1","sync'ed","-0.007",
"2018-02-05T00:20:04.228Z","AWFjVYQYRDDFCm0fdrgP","10.3.101.2","sync'ed","-0.008",
"2018-02-05T00:20:04.211Z","AWFjVYQgRDDFCm0fdrgZ","10.3.101.3","sync'ed","-0.007",
"2018-02-05T00:20:04.168Z","AWFjVYPWRDDFCm0fdrgJ","10.3.101.4","sync'ed","-0.007",
"2018-02-05T00:20:04.651Z","AWFjVYW1RDDFCm0fdrhC","10.3.101.5","sync'ed","-0.008",
"2018-02-05T00:20:05.642Z","AWFjVYmhRDDFCm0fdriY","10.3.101.6","sync'ed","-0.006",
"2018-02-05T00:20:04.146Z","AWFjVYPBRDDFCm0fdrgG","10.3.101.7","sync'ed","-0.007",
"2018-02-05T00:20:04.749Z","AWFjVYYxRDDFCm0fdrhS","10.3.101.8","sync'ed","-0.006",
"2018-02-05T00:20:04.871Z","AWFjVYaQRDDFCm0fdrhc","10.3.101.9","sync'ed","-0.009",
"2018-02-05T00:20:04.162Z","AWFjVYPMRDDFCm0fdrgI","10.3.101.10","sync'ed","-0.006",
"2018-02-05T00:20:04.398Z","AWFjVYS7RDDFCm0fdrgl","10.3.101.11","sync'ed","-0.006",
"2018-02-05T00:20:04.453Z","AWFjVYUWRDDFCm0fdrgs","10.3.101.12","sync'ed","-0.007",
"2018-02-05T00:20:04.438Z","AWFjVYTfRDDFCm0fdrgn","10.3.101.13","sync'ed","-0.007",
"2018-02-05T00:20:04.065Z","AWFjVYNwRDDFCm0fdrf1","10.3.101.14","sync'ed","-0.004",
"2018-02-05T00:20:04.938Z","AWFjVYbURDDFCm0fdrhd","10.3.101.15","sync'ed","-0.005",
"2018-02-05T00:20:04.130Z","AWFjVYOrRDDFCm0fdrf7","10.3.101.16","sync'ed","-0.006",
"2018-02-05T00:20:04.640Z","AWFjVYW2RDDFCm0fdrhD","10.3.101.17","sync'ed","-0.007",
"2018-02-05T00:20:03.990Z","AWFjVYMgRDDFCm0fdrfx","10.3.101.18","sync'ed","-0.007",
"2018-02-05T00:20:04.813Z","AWFjVYZXRDDFCm0fdrhY","10.3.101.19","sync'ed","-0.008",
"2018-02-05T00:20:04.186Z","AWFjVYQPRDDFCm0fdrgM","10.3.101.20","sync'ed","-0.008",
"2018-02-05T00:20:05.056Z","AWFjVYdJRDDFCm0fdrhi","10.3.101.101","sync'ed","-0.008",
"2018-02-05T00:20:04.031Z","AWFjVYNMRDDFCm0fdrfz","10.3.101.102","sync'ed","-0.006",
"2018-02-05T00:20:06.758Z","AWFjVY3wRDDFCm0fdrl2","10.3.102.1","sync'ed","-0.007",
"2018-02-05T00:20:04.501Z","AWFjVYUfRDDFCm0fdrg0","10.3.102.2","sync'ed","-0.008",
"2018-02-05T00:20:03.962Z","AWFjVYMDRDDFCm0fdrfm","10.3.102.3","sync'ed","-0.007",
"2018-02-05T00:20:03.357Z","AWFjVYDfRDDFCm0fdrdl","10.3.102.4","sync'ed","-0.005",
"2018-02-05T00:20:03.757Z","AWFjVYJZRDDFCm0fdrew","10.3.102.5","sync'ed","-0.006",
"2018-02-05T00:20:04.370Z","AWFjVYSfRDDFCm0fdrgk","10.3.102.6","sync'ed","-0.009",
"2018-02-05T00:20:04.327Z","AWFjVYRxRDDFCm0fdrgc","10.3.102.7","sync'ed","-0.008",
"2018-02-05T00:20:04.351Z","AWFjVYSIRDDFCm0fdrgd","10.3.102.8","sync'ed","-0.008",
"2018-02-05T00:20:04.642Z","AWFjVYW2RDDFCm0fdrhE","10.3.102.9","sync'ed","-0.006",
"2018-02-05T00:20:06.056Z","AWFjVYtLRDDFCm0fdrj-","10.3.103.11","sync'ed","-0.007",
