last sync time,ELK log ID,client IP,synchronize results,time difference,
"2019-01-30T00:32:57.425Z","PJIsnGgBGWtHWsh3VoKD","10.3.101.1","sync'ed","-0.008",
"2019-01-30T00:32:57.696Z","NpIsnGgBGWtHWsh3WINy","10.3.101.2","sync'ed","-0.008",
"2019-01-30T00:32:57.225Z","O5IsnGgBGWtHWsh3VoKD","10.3.101.3","sync'ed","-0.007",
"2019-01-30T00:32:58.531Z","HJIsnGgBGWtHWsh3XIU1","10.3.101.4","sync'ed","-0.006",
"2019-01-30T00:32:56.872Z","I5IsnGgBGWtHWsh3WYQT","10.3.101.5","sync'ed","-0.007",
"2019-01-30T00:32:57.155Z","YJIsnGgBGWtHWsh3V4Jo","10.3.101.6","sync'ed","-0.007",
"2019-01-30T00:32:56.886Z","r5IsnGgBGWtHWsh3V4KU","10.3.101.7","sync'ed","-0.008",
"2019-01-30T00:32:57.556Z","PZIsnGgBGWtHWsh3VoKD","10.3.101.8","sync'ed","-0.007",
"2019-01-30T00:32:57.390Z","MpIsnGgBGWtHWsh3WINy","10.3.101.9","sync'ed","-0.008",
"2019-01-30T00:32:57.065Z","sZIsnGgBGWtHWsh3V4KU","10.3.101.10","sync'ed","-0.006",
"2019-01-30T00:32:56.815Z","IpIsnGgBGWtHWsh3WYQT","10.3.101.11","sync'ed","-0.009",
"2019-01-30T00:32:56.947Z","L5IsnGgBGWtHWsh3WINy","10.3.101.12","sync'ed","-0.005",
"2019-01-30T00:32:57.298Z","s5IsnGgBGWtHWsh3V4KU","10.3.101.13","sync'ed","-0.007",
"2019-01-30T00:32:57.132Z","spIsnGgBGWtHWsh3V4KU","10.3.101.14","sync'ed","-0.005",
"2019-01-30T00:32:56.887Z","X5IsnGgBGWtHWsh3V4Jo","10.3.101.15","sync'ed","-0.008",
"2019-01-30T00:32:56.998Z","OpIsnGgBGWtHWsh3VoKD","10.3.101.16","sync'ed","-0.007",
"2019-01-30T00:32:56.845Z","E5IsnGgBGWtHWsh3WYQM","10.3.101.17","sync'ed","-0.009",
"2019-01-30T00:32:57.235Z","JpIsnGgBGWtHWsh3WYQT","10.3.101.18","sync'ed","-0.007",
"2019-01-30T00:32:57.530Z","FJIsnGgBGWtHWsh3WYQM","10.3.101.19","sync'ed","-0.005",
"2019-01-30T00:32:57.054Z","MJIsnGgBGWtHWsh3WINy","10.3.101.20","sync'ed","-0.008",
