last sync time,ELK log ID,client IP,synchronize results,time difference,
"2017-12-14T00:20:05.009Z","AWBSZHsahIvOirUTkwEw","10.3.101.1","sync'ed","-0.007",
"2017-12-14T00:20:04.841Z","AWBSZHqDhIvOirUTkwEP","10.3.101.2","sync'ed","-0.005",
"2017-12-14T00:20:04.608Z","AWBSZHmJhIvOirUTkwDJ","10.3.101.3","sync'ed","-0.007",
"2017-12-14T00:20:05.182Z","AWBSZHvrhIvOirUTkwF9","10.3.101.4","sync'ed","-0.006",
"2017-12-14T00:20:04.637Z","AWBSZHn1hIvOirUTkwDc","10.3.101.5","sync'ed","-0.007",
"2017-12-14T00:20:05.016Z","AWBSZHtHhIvOirUTkwEz","10.3.101.6","sync'ed","-0.005",
"2017-12-14T00:20:04.385Z","AWBSZHjMhIvOirUTkwCl","10.3.101.7","sync'ed","-0.007",
"2017-12-14T00:15:04.294Z","AWBSX-SBhIvOirUTkkEs","10.3.101.8","sync'ed","-0.005",
"2017-12-14T00:20:04.376Z","AWBSZHjMhIvOirUTkwCk","10.3.101.9","sync'ed","-0.007",
"2017-12-14T00:20:05.083Z","AWBSZHtshIvOirUTkwFL","10.3.101.10","sync'ed","-0.006",
"2017-12-14T00:20:05.467Z","AWBSZHzkhIvOirUTkwHh","10.3.101.11","sync'ed","-0.006",
"2017-12-14T00:20:04.248Z","AWBSZHgzhIvOirUTkwB6","10.3.101.12","sync'ed","-0.008",
"2017-12-14T00:20:06.060Z","AWBSZH9UhIvOirUTkwKX","10.3.101.13","sync'ed","-0.007",
"2017-12-14T00:20:04.495Z","AWBSZHkYhIvOirUTkwC6","10.3.101.14","sync'ed","+0.000",
"2017-12-14T00:20:04.657Z","AWBSZHm6hIvOirUTkwDK","10.3.101.15","sync'ed","-0.005",
"2017-12-14T00:20:05.633Z","AWBSZH2ohIvOirUTkwIm","10.3.101.16","sync'ed","-0.006",
"2017-12-14T00:20:05.136Z","AWBSZHu3hIvOirUTkwFq","10.3.101.17","sync'ed","-0.006",
"2017-12-14T00:20:05.158Z","AWBSZHvPhIvOirUTkwF0","10.3.101.18","sync'ed","-0.008",
"2017-12-14T00:20:04.310Z","AWBSZHhlhIvOirUTkwB-","10.3.101.19","sync'ed","-0.008",
"2017-12-14T00:20:04.471Z","AWBSZHkXhIvOirUTkwC5","10.3.101.20","sync'ed","-0.007",
"2017-12-14T00:20:04.752Z","AWBSZHpAhIvOirUTkwD9","10.3.101.101","sync'ed","-0.008",
"2017-12-14T00:20:04.936Z","AWBSZHrRhIvOirUTkwEc","10.3.101.102","sync'ed","-0.007",
"2017-12-14T00:20:04.738Z","AWBSZHoVhIvOirUTkwDy","10.3.102.1","sync'ed","-0.007",
"2017-12-14T00:20:03.280Z","AWBSZHSChIvOirUTkv8F","10.3.102.2","sync'ed","-0.005",
"2017-12-14T00:20:04.994Z","AWBSZHsUhIvOirUTkwEu","10.3.102.3","sync'ed","-0.004",
"2017-12-14T00:20:04.543Z","AWBSZHlLhIvOirUTkwDC","10.3.102.4","sync'ed","-0.008",
"2017-12-14T00:20:04.923Z","AWBSZHruhIvOirUTkwEp","10.3.102.5","sync'ed","-0.006",
"2017-12-14T00:20:04.692Z","AWBSZHndhIvOirUTkwDL","10.3.102.6","sync'ed","-0.007",
"2017-12-14T00:20:04.416Z","AWBSZHjnhIvOirUTkwC1","10.3.102.7","sync'ed","-0.008",
"2017-12-14T00:20:04.313Z","AWBSZHhlhIvOirUTkwB_","10.3.102.8","sync'ed","-0.007",
"2017-12-14T00:20:05.787Z","AWBSZH4vhIvOirUTkwI-","10.3.102.9","sync'ed","-0.008",
"2017-12-14T00:20:04.427Z","AWBSZHjVhIvOirUTkwCs","10.3.102.10","sync'ed","-0.006",
"2017-12-14T00:20:04.787Z","AWBSZHpIhIvOirUTkwD_","10.3.103.4","sync'ed","-0.007",
"2017-12-14T00:20:05.048Z","AWBSZHtMhIvOirUTkwE1","10.3.103.5","sync'ed","-0.008",
"2017-12-14T00:20:05.025Z","AWBSZHtHhIvOirUTkwE0","10.3.103.6","sync'ed","-0.006",
"2017-12-14T00:20:04.877Z","AWBSZHqWhIvOirUTkwEY","10.3.103.7","sync'ed","-0.007",
"2017-12-14T00:20:04.540Z","AWBSZHlLhIvOirUTkwDB","10.3.103.8","sync'ed","-0.007",
"2017-12-14T00:20:04.462Z","AWBSZHkXhIvOirUTkwC3","10.3.103.9","sync'ed","-0.008",
"2017-12-14T00:20:04.442Z","AWBSZHjkhIvOirUTkwC0","10.3.103.11","sync'ed","-0.006",
"2017-12-14T00:20:04.632Z","AWBSZHn1hIvOirUTkwDb","10.3.103.21","sync'ed","-0.006",
"2017-12-14T00:20:04.818Z","AWBSZHpbhIvOirUTkwEG","10.3.103.22","sync'ed","-0.006",
"2017-12-14T00:23:33.681Z","AWBSZ6pChIvOirUTk4Yi","10.3.121.4","sync'ed","-0.007",
"2017-12-14T00:14:06.849Z","AWBSXwQUhIvOirUTkiMh","10.3.121.5","sync'ed","-0.007",
"2017-12-14T00:20:04.966Z","AWBSZHrvhIvOirUTkwEq","10.3.121.96","sync'ed","-0.005",
"2017-12-14T00:20:04.435Z","AWBSZHjchIvOirUTkwCt","10.3.121.97","sync'ed","-0.006",
"2017-12-13T10:30:01.865Z","AWBPbJO4hIvOirUTEQn1","10.3.121.155","sync'ed","+0.006",
"2017-12-14T00:20:04.639Z","AWBSZHn1hIvOirUTkwDe","10.3.125.151","sync'ed","+0.002",
"2017-12-13T10:30:02.175Z","AWBPbJO4hIvOirUTEQpJ","10.3.126.24","sync'ed","-0.616",
"2017-12-14T00:24:59.283Z","AWBSaPizhIvOirUTk7_W","10.3.130.251","sync'ed","+0.000",
"2017-12-14T00:23:33.125Z","AWBSZ6gehIvOirUTk4Xw","10.3.133.1","sync'ed","+0.000",
"2017-12-14T00:17:06.274Z","AWBSYcEBhIvOirUTko9r","10.3.133.2","sync'ed","+0.001",
"2017-12-14T00:10:53.876Z","AWBSXBJHhIvOirUTkaX5","10.3.133.3","sync'ed","+0.000",
"2017-12-14T00:16:33.832Z","AWBSYUJJhIvOirUTkns2","10.3.133.4","sync'ed","+0.001",
"2017-12-14T00:24:58.331Z","AWBSaPT6hIvOirUTk79m","10.3.133.5","sync'ed","+0.001",
"2017-12-14T00:18:09.006Z","AWBSYrYbhIvOirUTkrXd","10.3.141.11","sync'ed","+0.008",
"2017-12-14T00:09:14.263Z","AWBSWo0uhIvOirUTkVtt","10.3.141.12","sync'ed","+0.008",
"2017-12-14T00:11:46.953Z","AWBSXOGrhIvOirUTkclm","10.3.141.252","sync'ed","+0.001",
"2017-12-14T00:21:34.056Z","AWBSZdd1hIvOirUTkztX","10.3.141.253","sync'ed","+0.001",
"2017-12-14T00:19:30.971Z","AWBSY_ZahIvOirUTkuix","10.3.142.2","sync'ed","+0.001",
"2017-12-14T00:16:19.782Z","AWBSYQtfhIvOirUTknK0","10.3.142.3","sync'ed","+0.000",
"2017-12-14T00:24:32.721Z","AWBSaJDahIvOirUTk67B","10.3.142.251","sync'ed","-0.005",
"2017-12-14T00:18:25.867Z","AWBSYvf6hIvOirUTksAy","10.3.143.254","sync'ed","+0.007",
"2017-12-14T00:22:33.226Z","AWBSZr4ahIvOirUTk199","10.3.151.1","sync'ed","+0.000",
"2017-12-14T00:19:30.229Z","AWBSY_NChIvOirUTkufS","10.3.151.2","sync'ed","+0.001",
"2017-12-13T10:30:03.203Z","AWBPbJO4hIvOirUTEQt2","10.3.152.1","sync'ed","+0.327",
"2017-12-14T00:20:04.999Z","AWBSZHsUhIvOirUTkwEv","10.3.153.1","sync'ed","-0.008",
"2017-12-14T00:20:06.467Z","AWBSZIDRhIvOirUTkwMm","10.3.153.2","sync'ed","-0.006",
"2017-12-14T00:20:04.638Z","AWBSZHn1hIvOirUTkwDd","10.3.153.3","sync'ed","-0.007",
"2017-12-14T00:20:05.059Z","AWBSZHtlhIvOirUTkwFK","10.3.153.4","sync'ed","-0.008",
"2017-12-14T00:20:04.769Z","AWBSZHophIvOirUTkwD0","10.3.153.5","sync'ed","-0.008",
"2017-12-14T00:09:52.003Z","AWBSWyCMhIvOirUTkXiB","10.3.154.2","sync'ed","+0.002",
"2017-12-14T00:22:33.933Z","AWBSZsDWhIvOirUTk1_J","10.3.156.1","sync'ed","+0.001",
"2017-12-14T00:08:37.044Z","AWBSWfxVhIvOirUTkT57","10.3.156.2","sync'ed","+0.001",
"2017-12-14T00:23:44.897Z","AWBSZ9YOhIvOirUTk49H","10.3.171.1","sync'ed","+0.000",
"2017-12-14T00:24:34.537Z","AWBSaJguhIvOirUTk6_-","10.3.171.2","sync'ed","+0.000",
"2017-12-14T00:18:41.559Z","AWBSYzUphIvOirUTkslK","10.3.183.1","sync'ed","+0.000",
"2017-12-14T00:13:25.631Z","AWBSXmMYhIvOirUTkgcD","10.3.183.2","sync'ed","+0.000",
"2017-12-14T00:15:41.703Z","AWBSYHaehIvOirUTklnJ","10.3.183.3","sync'ed","+0.001",
"2017-12-14T00:19:38.835Z","AWBSZBUohIvOirUTku4L","10.3.183.253","sync'ed","+0.001",
"2017-12-14T00:22:25.734Z","AWBSZqDPhIvOirUTk1ul","10.3.191.251","sync'ed","+0.013",
"2017-12-14T00:24:27.255Z","AWBSaHuAhIvOirUTk6rs","10.3.192.1","sync'ed","+0.001",
"2017-12-14T00:24:16.364Z","AWBSaFD1hIvOirUTk6PZ","10.3.192.2","sync'ed","+0.002",
"2017-12-14T00:22:58.670Z","AWBSZyGEhIvOirUTk2_A","10.3.192.251","sync'ed","-0.055",
"2017-12-14T00:21:00.682Z","AWBSZVSuhIvOirUTkyXP","10.3.192.252","sync'ed","-0.040",
"2017-12-14T00:15:50.854Z","AWBSYJpXhIvOirUTkl8p","10.3.193.254","sync'ed","-0.005",
"2017-12-13T19:05:12.120Z","AWBRRDLKhIvOirUTYItA","10.3.201.1","sync'ed","+0.040",
"2017-12-13T10:30:02.971Z","AWBPbJAZhIvOirUTEQal","10.3.201.2","sync'ed","-3.655",
"2017-12-13T10:30:03.071Z","AWBPbJCDhIvOirUTEQcD","10.3.201.8","sync'ed","-3.417",
"2017-12-13T10:30:02.401Z","AWBPbI4UhIvOirUTEQX1","10.3.201.14","sync'ed","-3.678",
"2017-12-13T10:30:02.990Z","AWBPbJA3hIvOirUTEQay","10.3.201.18","sync'ed","-3.655",
"2017-12-14T00:00:09.831Z","AWBSUj6zhIvOirUTj8Y9","10.3.202.1","sync'ed","-0.081",
"2017-12-13T23:41:52.275Z","AWBSQX9KhIvOirUTjRPg","10.3.202.3","sync'ed","-0.706",
"2017-12-14T00:24:11.118Z","AWBSaDyuhIvOirUTk58P","10.3.202.5","sync'ed","-0.022",
"2017-12-14T00:22:00.699Z","AWBSZj8FhIvOirUTk0y1","10.3.202.254","sync'ed","-0.025",
"2017-12-14T00:24:54.867Z","AWBSaOdchIvOirUTk7ym","10.3.203.3","sync'ed","+0.077",
"2017-12-14T00:08:23.329Z","AWBSWcYrhIvOirUTkTM0","10.3.203.4","sync'ed","-10.981",
"2017-12-13T16:00:03.204Z","AWBQmrC-hIvOirUTRQHO","10.3.203.7","sync'ed","-0.660",
"2017-12-14T00:09:47.644Z","AWBSWw-2hIvOirUTkXTg","10.3.203.26","sync'ed","+0.000",
"2017-12-14T00:24:59.882Z","AWBSaPr4hIvOirUTk8CN","10.3.203.32","sync'ed","+0.004",
"2017-12-14T00:10:17.841Z","AWBSW4WGhIvOirUTkY_F","10.3.203.57","sync'ed","+0.879",
"2017-12-13T23:27:34.347Z","AWBSNGfUhIvOirUTivdU","10.3.203.58","sync'ed","+0.258",
"2017-12-14T00:01:28.745Z","AWBSU3RMhIvOirUTj_vJ","10.3.203.63","sync'ed","+0.035",
"2017-12-14T00:01:12.674Z","AWBSUzQDhIvOirUTj-9R","10.3.203.64","sync'ed","+0.046",
"2017-12-14T00:01:12.780Z","AWBSUzSJhIvOirUTj-93","10.3.203.66","sync'ed","+0.038",
"2017-12-13T02:21:19.216Z","AWBNrR4BhIvOirUTrExs","10.3.203.74","sync'ed","+1.070",
"2017-12-13T02:24:27.356Z","AWBNr_zuhIvOirUTrOGC","10.3.203.75","sync'ed","-0.144",
